unit_0,0.0
unit_1,0.0
unit_2,0.0
unit_3,0.0
unit_4,0.0
unit_5,0.0
unit_6,0.0
unit_7,0.0
unit_8,0.0
unit_9,0.0
unit_10,0.0
unit_11,0.0
unit_12,0.0
unit_13,0.0
unit_14,0.0
unit_15,0.0
unit_16,0.0
unit_17,0.0
unit_18,0.0
unit_19,0.0
unit_20,0.0
unit_21,0.0
unit_22,0.0
unit_23,0.0
unit_24,0.0
unit_25,0.0
unit_26,0.0
unit_27,0.0
unit_28,0.0
unit_29,0.0
unit_30,0.0
unit_31,0.0
unit_32,0.0
unit_33,0.0
unit_34,0.0
unit_35,0.0
unit_36,0.0
unit_37,0.0
unit_38,0.0
unit_39,0.0
unit_40,0.0
unit_41,0.0
unit_42,0.0
unit_43,0.0
unit_44,0.0
unit_45,0.0
unit_46,0.0
unit_47,0.0
unit_48,0.0
unit_49,0.0
unit_50,0.0
unit_51,0.0
unit_52,0.0
unit_53,0.0
unit_54,0.0
unit_55,0.0
unit_56,0.0
unit_57,0.0
unit_58,0.0
unit_59,0.0
unit_60,0.0
unit_61,0.0
unit_62,0.0
unit_63,0.0
unit_64,0.0
unit_65,0.0
unit_66,0.0
unit_67,0.0
unit_68,0.0
unit_69,0.0
unit_70,0.0
unit_71,0.0
unit_72,0.0
unit_73,0.0
unit_74,0.0
unit_75,0.0
unit_76,0.0
unit_77,0.0
unit_78,0.0
unit_79,0.0
unit_80,0.0
unit_81,0.0
unit_82,0.0
unit_83,0.0
unit_84,0.0
unit_85,0.0
unit_86,0.0
unit_87,0.0
unit_88,0.0
unit_89,0.0
unit_90,0.0
unit_91,0.0
unit_92,0.0
unit_93,0.0
unit_94,0.0
unit_95,0.0
unit_96,0.0
unit_97,0.0
unit_98,0.0
unit_99,0.0
unit_100,0.0
unit_101,0.0
unit_102,0.0
unit_103,0.0
unit_104,0.0
unit_105,0.0
unit_106,0.0
unit_107,0.0
unit_108,0.0
unit_109,0.0
unit_110,0.0
unit_111,0.0
unit_112,0.0
unit_113,0.0
unit_114,0.0
unit_115,0.0
unit_116,0.0
unit_117,0.0
unit_118,0.0
unit_119,0.0
unit_120,0.0
unit_121,0.0
unit_122,0.0
unit_123,0.0
unit_124,0.0
unit_125,0.0
unit_126,0.0
unit_127,0.0
unit_128,0.0
unit_129,0.0
unit_130,0.0
unit_131,0.0
unit_132,0.0
unit_133,0.0
unit_134,0.0
unit_135,0.00014
unit_136,0.000350186
unit_137,0.00042230199999999994
unit_138,0.0005644020000000001
unit_139,0.0004975820000000001
unit_140,0.00042770199999999997
unit_141,0.0004918020000000001
unit_142,0.00041420199999999996
unit_143,0.00047840199999999995
unit_144,0.000488423
unit_145,0.0005543999999999999
unit_146,0.0005533
unit_147,0.00048619999999999995
unit_148,0.0006182000000000001
unit_149,0.0005541
unit_150,0.00041689999999999994
unit_151,0.00048799999999999994
unit_152,0.00047339999999999996
unit_153,0.00034369999999999995
unit_154,0.00048750400000000004
unit_155,0.0004306019999999999
unit_156,0.00040890199999999994
unit_157,0.0
unit_158,0.00019260000000000002
unit_159,0.0002073
unit_160,0.0003381
unit_161,0.000252565
unit_162,0.00032199400000000003
unit_163,0.00039833
unit_164,0.000398493
unit_165,0.000531529
unit_166,0.0003228254
unit_167,0.00025322199999999994
unit_168,0.0002527612
unit_169,0.000379419
unit_170,0.00037948640000000003
unit_171,0.0003794150000000001
unit_172,0.0003163199999999999
unit_173,0.000442519
unit_174,0.00025315860999999997
unit_175,0.0002532797999999999
unit_176,0.00031599199999999997
unit_177,0.0001893
unit_178,0.00044230000000000007
unit_179,0.00044080000000000004
unit_180,0.0004395
unit_181,0.000321202
unit_182,0.0002531
unit_183,0.0005054
unit_184,0.0003155
unit_185,0.000314
unit_186,0.0002524
unit_187,0.00038486799999999996
unit_188,0.0003850044699999999
unit_189,0.00031984493999999983
unit_190,0.0003809
unit_191,0.0003205809399999998
unit_192,0.0003206359999999999
