UnitName,Power
Core0,0.24639880329827216
Core1,0.24639880329827216
Core2,7.347872836021875
Core3,0.24639880329827216
Core4,0.24639880329827216
Core5,0.24639880329827216
Core6,0.24639880329827216
Core7,0.24639880329827216
Core8,0.24639880329827216
Core9,0.24639880329827216
L3_0,0.21950468441869583
L3_1,0.21950468441869583
L3_2,0.21950468441869583
L3_3,0.21950468441869583
L3_4,0.21950468441869583
L3_5,0.21950468441869583
L3_6,0.21950468441869583
L3_7,0.21950468441869583
L3_8,0.21950468441869583
L3_9,0.21950468441869583
IO,2.8365078063671034
MemController,1.2156462027287587
Si_0,0.0
Si_1,0.0
Si_2,0.0
Si_3,0.0
Si_4,0.0
